Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
MDB,51.92378277277493,176.49000549316406,142.65,141.87,141.13,98.97000122070312,180.08999633789062
TWST,51.92276060277472,39.130001068115234,29.86,26.26,26.85,19.709999084472656,39.130001068115234
KIDS,51.87186013618495,45.119998931884766,41.59,42.15,40.12,30.139999389648438,49.040000915527344
ROL,51.868009722965404,42.290000915527344,37.52,36.53,35.69,31.246938705444336,42.290000915527344
TNDM,51.865584647700516,87.77999877929688,68.73,67.3,66.28,47.369998931884766,90.04000091552734
ALSK,51.827616280059736,2.25,1.81,1.76,1.74,1.3830770254135132,2.25
BMRN,51.80366591821588,95.19999694824219,86.39,82.55,80.51,64.2699966430664,97.94999694824219
NFLX,51.79509595953619,435.54998779296875,382.94,341.12,329.63,254.58999633789062,439.1700134277344
ALEC,51.76028786387607,27.239999771118164,25.25,21.92,20.82,14.170000076293945,35.279998779296875
HMI,51.754892352277004,13.5,13.08,12.16,11.75,7.329999923706055,16.149999618530273
CODX,51.75285620779299,15.5,11.46,4.95,4.0,0.7120000123977661,17.809999465942383
BAND,51.69694986796782,108.02999877929688,72.58,66.08,68.92,47.56999969482422,108.02999877929688
SHEN,51.67078464711021,48.7400016784668,47.69,41.8,39.69,29.454559326171875,58.63999938964844
INCY,51.63933876199761,95.91999816894531,83.7,83.05,82.28,63.18000030517578,103.4800033569336
MHLD,51.62310551284867,0.9764000177383423,0.93,0.8,0.75,0.4000000059604645,1.2200000286102295
QLYS,51.540727316633316,104.4000015258789,91.36,86.85,85.46,68.0,111.25
ATOM,51.53739464072248,5.599999904632568,4.15,3.79,3.9,2.549999952316284,5.760000228881836
GBT,51.536041888289525,77.25,62.63,64.58,61.07,41.720001220703125,87.19999694824219
LOGM,51.466777136634406,85.19000244140625,83.35,80.33,77.71,65.37086486816406,86.55000305175781
CNC,51.45810666238964,65.87999725341797,61.08,59.18,56.16,42.72999954223633,72.8499984741211
