,Company,Index
293,LOGM,4162
294,INSG,4182
295,NVO,4186
296,MOH,4218
297,MSFT,4226
298,TSLA,4229
299,RCUS,4230
300,EA,4257
301,ENPH,4271
302,BTAI,4280
303,FNV,4283
304,BVXV,4303
305,IOTS,4344
306,SEDG,4423
307,DRNA,4448
308,HAIN,4479
309,UNH,4519
310,FRHC,4598
311,NPTN,4606
312,NEO,4672
313,PDD,4673
314,SCPH,4678
315,NVDA,4690
316,CNST,4737
317,UMC,4748
318,ATEX,4766
319,STN,4803
320,QTS,4811
321,HUM,4815
322,RING,4817
323,SLP,4831
324,INCY,4836
325,LDOS,4850
326,SORL,4862
327,AMT,4874
328,CPB,4893
329,BILI,4896
330,BAND,4898
331,ARVN,4924
332,PRTS,4952
333,FIVN,4996
334,NFLX,5002
335,OBCI,5012
336,PBH,5032
337,BBC,5050
338,MRNA,5066
339,UTHR,5100
340,APLT,5103
341,FTNT,5117
342,LN,5140
343,BVSN,5150
344,MNTA,5155
345,EVBG,5181
346,DRD,5186
347,ICAD,5230
348,EURN,5263
349,GLPG,5273
350,TMO,5280
351,PLMR,5292
352,STMP,5315
353,NVMI,5333
354,GOLD,5334
355,ADBE,5356
356,ZTO,5364
357,SAVA,5371
358,CNC,5394
359,COR,5395
360,NLTX,5442
361,CODX,5456
362,FLGT,5464
363,ZYXI,5489
364,FRPT,5501
365,WST,5509
366,ARES,5527
367,TRIL,5583
368,KNSL,5592
369,MPWR,5598
370,REGN,5613
371,AZN,5626
372,ACMR,5636
373,WING,5641
374,ZNGA,5673
375,OCUL,5683
376,TYL,5688
377,FENC,5728
378,GCAP,5742
379,RNG,5767
380,AMRC,5842
381,WMGI,5844
382,CLW,5867
383,POPE,5869
384,ADVM,5974
385,HEBT,6009
386,CGEN,6014
387,VRTX,6039
388,AHCO,6045
389,EVER,6046
390,GBT,6056
391,IPHI,6057
392,MASI,6075
393,VGLT,6143
394,VEEV,6181
395,ASML,6195
396,TGTX,6257
397,CYBE,6282
398,TSM,6321
399,CLX,6323
400,FCN,6360
401,CENT,6380
402,CCXI,6400
403,BIIB,6419
404,RDY,6441
405,CWEN,6456
406,IRTC,6491
407,NBSE,6514
408,PRNB,6550
409,CUE,6567
410,TIF,6580
411,CHGG,6625
412,LOGI,6672
413,RPAY,6694
414,RDVT,6783
415,SBAC,6803
416,WERN,6811
417,AGI,6836
418,NEM,6873
419,ASND,6904
420,CHWY,6905
421,ARCT,6918
422,VNET,6922
423,VICR,6954
424,MHLD,6982
425,ACAD,7008
426,BEP,7060
427,BBH,7145
428,DVA,7186
429,ALSK,7217
430,KALA,7236
431,KMDA,7271
432,ABBV,7331
433,DLR,7339
434,TMUS,7351
435,DPZ,7367
436,KRMD,7392
437,AMZN,7423
438,SGEN,7443
439,THMO,7446
440,OKTA,7529
441,PZZA,7551
442,GNRC,7581
443,ODFL,7593
444,AVDL,7602
445,REKR,7611
446,SLNO,7616
